Store,smartIntent,message,starRating,Month of Fiscal Month,Blank
BP #51000 Tamarac,Store Experience | Long Wait Time,"Horrible service, waited in the store for almost an hour just for the systems to stop working as soon as it was time for me to check out. Massive waste of time, spare yourself the disappointment and go to a real Xfinity store.",1,25-Jan,51000
BP #51000 Tamarac,Store Experience | Long Wait Time,"Parish was nice, and cute! lol despite the brief wait, he got me in and out’",5,25-Jan,51000
BP #51002 Coconut Creek,Store Experience | Customer Dissatisfaction,"Store is supposed to be open 9am Saturday. 9:10am and the store is not open and no employees are here. They wonder why they are losing customers. Management should be looked at, based on all the 1 star reviews.",1,25-Feb,51002
BP #51002 Coconut Creek,Store Experience | Long Wait Time,"It says 9am-8pm on the door and online. There’s no one here. People are waiting outside, photo taken at 9:12",1,25-Jan,51002
BP #51002 Coconut Creek,Store Experience | Staff | Appreciation,"I’ll keep this short & to the point. My family and I went to this location to purchase a cell phone for my son’s birthday gift. Didn’t have to wait long, Noel came to help. He was great- very attentive, knowledgeable, and patient. Great customer service!",5,25-Feb,51002
BP #51003 Lauderhill,Store Experience | Customer Dissatisfaction,"A rating of one star is undoubtedly excessive.
To begin, I must express my profound dissatisfaction with the customer service experience I encountered at this establishment. This is not an isolated incident, as I have previously sought assistance with various issues and was met with unhelpful responses and indifference. The representative’s attitude towards resolving my problem was clearly one of apathy.

It is unacceptable to treat paying customers as inconveniences. Customer service should be dedicated to providing assistance and support, not to exacerbating customer frustration. Consequently, I will not be returning to this establishment in the future.",1,25-Feb,51003
BP #51003 Lauderhill,Store Experience | Customer Dissatisfaction,Customer service here is horrible I walked in at 7:45pm no one greeted me or even asked me if I wanted help . A female worker walked to the back to hide rather than helping customers.,1,25-Feb,51003
BP #51003 Lauderhill,Store Experience | Staff | Behaviour Issues,"So I cancelled my basic cable and home phone and kept my internet over the phone with Alex on Friday. I asked a friend to return the box and remote to this location and pay my bill. Once he arrived Kim the ""sales rep"" told him she could lower my price for two years to $120.00 a month by keeping the home phone. Friday phone changes would be $115.00 per month. Kim took about two hours and had my friend to call me on the phone. Kim had trouble with making her proposal to go through. After about an hour my friend got frustrated a left with the receipts. Here's the weird part after he left "" Kim"" called me back and asked me for my SS# and DOB. When I refused to give it to her, she hung up in my face. I called back no answer.This girl is shady. Know I will be making a complaint. This location has scammers on board!!!",2,25-Feb,51003
BP #51004 Greenacres,Store Experience | Staff | Appreciation,"I want to commend the technicians who worked at my home today. They did an excellent job, demonstrating professionalism and efficiency. They came in, assessed the situation, and completed the work thoroughly and promptly. I truly appreciate their hard work and the quality of service provided. Thank you for hiring such skilled professionals!",5,25-Jan,51004
BP #51004 Greenacres,Store Experience | Staff | Dissatisfaction,I was treated absolutely terrible then they threatened to call the police on me because I was crying about my phone I was in the middle of closing a deal on a house and I run a business and you guys sold me a broken phone and I can't believe I was treated this way and I'm switching everything from Xfinity to another carrier I've been with you guys for a long time I own 15 different sober living houses and I will never ever ever do business with you guys again you lost a really good customer. It seems like you guys just will hire anybody I mean these kids are like 15 years old and they don't even know what they're talking about and they're so rude and have no customer service skills terrible and really bad for business.,1,25-Feb,51004
BP #51004 Greenacres,Store Experience | Staff | Dissatisfaction,"I would stay away from this store, the reps here have no integrity. They will lie to you, do yourself a favor and find another Xfinity even if this store is conveniently closer. No leadership.",1,25-Mar,51004
BP #51004 Greenacres,Store Experience | Staff | Dissatisfaction,"Put on hold for 4 0 minutes, each person you speak with gives a different answer to the same question, no one knows anything I'm Amazed.",1,25-Feb,51004
BP #51004 Greenacres,Store Experience | Staff | Dissatisfaction,"Rude, disrespectful kids working there.   Should all be fired.  I asked for help bringing in equipment to return.  One said I'm not going outside, the other said we don't do that and they all sat and grumbled they didn't want to help.   This is NOT customer service.  I asked for their names and one turned his back on me, the other rude one turned his name around and showed me a blank side while laughing and the other was Jerimiah.   Terrible way to treat any customer, especially a senior citizen that has had comcast for 25 years.   Going to Hotwire now.",1,25-Mar,51004
BP #51004 Greenacres,Store Experience | Staff | Manager Complaints,"(Translated by Google) The worst experience of my life, the representative who is assisting me, Rayan, left the counter for more than 20 minutes and when I asked the next representative, Anthony, if I could call him, he told me I don't have to do anything for him, I am assisting him. this lady and nothing more, the lady told him that you are a rude person, look for your manager and he answered that there is no manager there, another boy came and told me what happened and I told him I entered the door where Rayan was and he told me that now there is your phone that is already You can go, the phone needed 40 minutes to finish transferring the data, anyway I'm at home and without a phone because something happened that doesn't work, I called Xfinity customer services Manuel apparently didn't know what he was doing and Daniela never knew how to help me find out how to fill out a written complaint

(Original)
La peor experiencia de mi vida el representante que me está atendiendo Rayan se fue de el mostrador mas de 20 minutos y cuando le pedí al siguiente representante Anthony que si lo podía llamar me dijo yo no tengo que hacer nada para el, yo estoy atendiendo a esta señora y nada más, la señora le dijo usted es un grocero, busque a su manager y le contestó que allí no hay manager, vino otro muchacho y me dijo que pasó y le dije entro a puerta donde estaba Rayan y me dice que ya está su teléfono que ya se puede ir, el teléfono le faltaba 40 minutos para terminar ese pasar los datos en fin estoy en mi casa y sin teléfono pues algo pasó que no funciona, llamé a Xfinity customer services Manuel aparentemente no sabía lo que hacía y Daniela nunca supo cómo ayudarme a encontrar cómo llenar una queja escrita",1,25-Jan,51004
BP #51005 Royal Palm Beach,Store Experience | Customer Dissatisfaction,"They have like seven employees in they're sitting around doing nothing;  I'm called right away, but the young man was not very helpful. He acted like I was a burden. Xfinity has my information saved incorrectly and so every time I give my cell phone number it says that number isn't registered to an account: EVEN THOUGH xfinity IS MY MOBILE PROVIDER.
Anyway, he acted annoyed about helping me log into the Wi-Fi at the store so that I could physically log into my account and show him what I was talking about.
I left more confused than when I went in there, I understand being 18 but I don't understand not having any experience in customer service whatsoever and playing with your hair the entire time you're talking to me.",1,25-Mar,51005
BP #51006 Sunrise,Store Experience | Customer Dissatisfaction,"(Translated by Google) Well, I tell you that this Xfinity store is the worst in customer service. On December 31, my line was cut off due to an error in the system at 4:30 p.m., I was left without any kind of communication (no calls, no texts), as I could, I connected to a Wi-Fi network and got there to ask that Please help me. When I arrived the advisors were super rude and were making fun of me in English (they thought I didn't understand), I asked them to lend me a phone so I could call 611 from Xfinity and they told me that they were not authorized...conclusion no one helped me and I had I had to go “illogically to the AT&T store so they could lend me a phone so I could call Xfinity customer service” 😡.

Well, I tell you that this Xfinity store is the worst in customer service. On December 31, my line was cut off due to an error in the system at 16:30, I was without any kind of communication (no calls, no texts), as I could I connected to a wifi network and I got there to ask them to please help me. When I arrived the advisors were super rude and were making fun of me in English (they thought I didn't understand), I asked them to lend me a phone so I could call 611 from Xfinity and they told me that they were not authorized ... conclusion no one helped me and I had to go ""illogically to the at&t store cross street so that they could lend me a phone and be able to call Xfinity customer service"" 😡.

(Original)
Bueno, les cuento que este store de Xfinity es el peor en servicio al cliente. El día 31 de diciembre me cortaron la línea por un error en el sistema a las 16:30, me quedé sin ninguna clase de comunicación (no llamadas, no textos), como pude me conecte a una red wifi y llegué allí a pedir que por favor me ayudaran. Cuando llegué los asesores fueron súper groseros y se estaban burlando de mí en inglés (pensaron que no entendía), les pedí que me prestaran un teléfono para poder llamar a 611 de Xfinity y me dijeron que no estaban autorizados…conclusión nadie me ayudó y tuve que ir “ilógicamente al store de at&t para que me prestaran un teléfono y poder llamar a servicio al cliente de Xfinity” 😡.

Well, I tell you that this Xfinity store is the worst in customer service. On December 31, my line was cut off due to an error in the system at 16:30, I was without any kind of communication (no calls, no texts), as I could I connected to a wifi network and I got there to ask them to please help me. When I arrived the advisors were super rude and were making fun of me in English (they thought I didn't understand), I asked them to lend me a phone so I could call 611 from Xfinity and they told me that they were not authorized... conclusion no one helped me and I had to go ""illogically to the at&t store cross street so that they could lend me a phone and be able to call Xfinity customer service"" 😡.",1,25-Feb,51006
BP #51006 Sunrise,Store Experience | Staff | Appreciation,Shepherd was very helpful and personable with my billing concerns. He provided excellent customer service which was much appreciated,5,25-Feb,51006
BP #51006 Sunrise,Store Experience | Staff | Behaviour Issues,"I had a disappointing experience at this Xfinity store due to the unprofessional attitude of one of the employees.
Instead of providing helpful service, he responded with unnecessary sarcasm when I explained my issue.

I came in because my chip wasn’t connected—I already knew that, which is why I sought help. His unnecessary comment was uncalled for. While he used polite words, his attitude made it clear that he didn’t mean them.

A little professionalism and courtesy would go a long way.",2,25-Feb,51006
BP #51007 St. Johns,Store Experience | Customer Appreciation,I highly recommend this store. The Manager Patrick helped me out a lot with my  purchase. He really knew what he was talking about.,5,25-Mar,51007
BP #51007 St. Johns,Store Experience | Staff | Appreciation,"Everything was done so quick thanks to Robert, one of the employees here. I expected to spend an hour or two out of my day to get my wifi situation figured out but everything was done in 20 minutes or less!",5,25-Mar,51007
BP #51007 St. Johns,Store Experience | Staff | Appreciation,"I had an exceptional experience! The staff was incredibly friendly and knowledgeable, helping me with everything I needed from setting up my new devices to answering all of my questions about the services. 10/10",5,25-Mar,51007
BP #51007 St. Johns,Store Experience | Staff | Appreciation,"I have visited this place many times for my internet and cell phone service, and they are always incredibly helpful. Today, I spoke with Dalton, who was friendly, patient, and went out of his way to find the best options for me. Great service as always!",5,25-Jan,51007
BP #51007 St. Johns,Store Experience | Staff | Appreciation,Robert was great. Gonna come back here soon,5,25-Mar,51007
BP #51007 St. Johns,Store Experience | Staff | Appreciation,"Such amazing service from Robert, will definitely get phones here",5,25-Mar,51007
BP #51007 St. Johns,Store Experience | Staff | Appreciation,"Thank god Robert stepped in and helped out, he gets 5 stars and my business from now on, very competent and knowledgeable",5,25-Mar,51007
BP #51007 St. Johns,Store Experience | Staff | Appreciation,They provided excellent customer service,5,25-Mar,51007
BP #51007 St. Johns,Store Experience | Staff | Appreciation,Very helpful,5,25-Feb,51007
BP #51007 St. Johns,Store Experience | Staff | Appreciation,Went to this Xfinity the other day and had great customer service with Robert!,5,25-Mar,51007
BP #51007 St. Johns,Store Experience | Staff | Behaviour Issues,"The worst customer service ever the guy on the phone was so rude. And at the end of the call when I said, I’m gonna think about it and I’m gonna call back,  he was like is this a joke and hang up on me . Even  if I was thinking to go with Xfinity now I’m not",1,25-Mar,51007
BP #51007 St. Johns,Store Experience | Staff | Dissatisfaction,"I went to Xfinity a couple days or so ago hoping to get some help with an ongoing issue I had been having with their service. The lady who was supposed to be “helping” me, her name was Naomi, seemed to have no idea what she was doing in the slightest. I’m unsure if she was a newer employee, but it was incredibly excessive and ridiculous. I stood in this store for hours getting more and more frustrated because I had things to do and I didn’t have time to be standing in Xfinity all day. It seemed like every 3 minutes she was asking the other employees of the store what to do or how to fix something. I came to Xfinity to get help with something I did not know how to fix on my own, but it’s very discouraging when the employee that helps me seems to know less about their own job, company, and issues than I do. I think I could’ve fixed this issue faster than she did with absolutely no knowledge on this stuff. Complete waste of time.",1,25-Mar,51007
BP #51009 Oak Ridge,Store Experience | Customer Dissatisfaction,Just returned all of my equipment and canceled my Comcast service. I was able to get $50 off at at&t. The brick and mortar store in Oak Ridge has been one of the worst experiences during my last 12 years with Comcast. It was worse than being on the phone with their customer service. There were about six or seven employees and only four were helping customers. My favorite was the guy with the big bushy beard who kept walking out from the back room and would just stare and then continue to walk around at a turtle pace and not really help anybody. He was working really hard to not work. Oh well I no longer have to worry because I will not be a returning customer for Comcast (Xfinity).,1,25-Jan,51009
BP #51009 Oak Ridge,Store Experience | Long Wait Time,"Lindsay was awesome!
Very busy, but she was efficient and knowledgeable and made everything easy and quick.",5,25-Feb,51009
BP #51009 Oak Ridge,Store Experience | Long Wait Time,"Store doesn’t have enough employees to serve customers in a timely fashion.  Expect a line and long waits, typically over 30 minutes!

Yes I know xfinity offers call in service but it can take an hour or more on the phone (not including waiting for call backs) to get things handled.  The service in the store is better but there are long waits for this service too!",3,25-Jan,51009
BP #51009 Oak Ridge,Store Experience | Long Wait Time,"This place reminded me of the DMV, the line was to the door. I went the next day as soon as they opened and even then folks were waiting in the parking lot. I was still able to walk straight to the counter. So just a friendly heads up.",3,25-Feb,51009
BP #51009 Oak Ridge,Store Experience | Staff | Appreciation,"Lyndsea was awesome she saved me money,kept my plan and upgraded me.Kudos to Lyndsea",5,25-Feb,51009
BP #51009 Oak Ridge,Store Experience | Staff | Behaviour Issues,"Went into the store did the special for the upgrade and the representative did not return my phone which is thief and now I am being charged for the remainder of the old phone. Do not trust this company. When upgrading your old phone ask them for the mailing packet as they are not supposed to keep your phone. Wish I would’ve known that whenever I traded in my old phone, which was not even a year old now I’m now stuck paying for a phone that they stole because I was told by the rude boy that they mail them in. I am not happy at all filling a police report tomorrow.",1,25-Feb,51009
BP #51009 Oak Ridge,Store Experience | Staff | Dissatisfaction,Guys at store were zero help….they had no answers for questions I had…plus were very busy playing on their phone!,1,25-Jan,51009
BP #51011 Greeneville,Store Experience | Customer Dissatisfaction,"When you wanna talk to the people in the store and they put you to a customer service people phone number is ridiculous. If anyone from the store, please contact me.",1,25-Mar,51011
BP #51011 Greeneville,Store Experience | Staff | Appreciation,"Jameison, thank you!!!  I really really really appreciated him. I have been thru stress but this tops it all! After 30+ agents he is the main person to get me to the finish line in saving my phone number associated with many clients. His patience is a virtue and he vibe will keep you calm during extreme high stress situations. Ask for him by name Jameison!!! Ur the best!!!!",5,25-Mar,51011
BP #51012 Fernandina Beach,Store Experience | Long Wait Time,"This is our closest XFinity store. About 25 minute drive in heavy traffic. Did have a handicap parking spot out front. We headed over to a low table with two cushioned chairs. We were redirected to a counter height station with a single swivel  bar stool type chair. Despite their being two of us , one of whom is on a cane, we were not offered a second chair. I finally walked across the room and brought a chair for my disabled veteran husband so he could sit down. Visits to Verizon are never fast. I asked to use the restroom as it had been a long drive, but was told there were no customer restrooms. It was an uncomfortable time until we concluded our business and we were able to go to a local Cafe for coffee and use the facilities. Like many of the older stores, it is not well laid out to accommodate Customers with ADA needs. This was compounded by a complete obliviousness to the needs of their older, disabled customers.  Obviously training is needed here. I did manage, with some effort,  to find they did not have my correct email. As I have had this email  - with their company  - for 30 years, I was a bit disappointed.  Not our best experience. #ADA #XFINITY #phone #email #customer #bathroom",3,25-Jan,51012
BP #51012 Fernandina Beach,Store Experience | Staff | Appreciation,Hunter was great and went above and beyond his position with comcast to help me!,5,25-Jan,51012
BP #51012 Fernandina Beach,Store Experience | Staff | Appreciation,I came in and Denise helped me solve the problem even though I was extremely upset.,5,25-Mar,51012
BP #51012 Fernandina Beach,Store Experience | Staff | Appreciation,"Infinity dropped our direct payment instructions for no apparent reason.  We attempted to resolve the issue using the Chat. Denise at the Infinity office Fernandina Beach, Fl.  found and resolved the issue immediately.  Great customer service.",5,25-Feb,51012
BP #51012 Fernandina Beach,Store Experience | Staff | Dissatisfaction,Went in for screen protector and Hunter went out of his way to make sure I was taken care of promptly. Quickly put on my phone and I was on my way. Need more retail help like this guy!,5,25-Jan,51012
BP #51013 Orange Park,Store Experience | Customer Appreciation,Great place,5,25-Jan,51013
BP #51013 Orange Park,Store Experience | Customer Dissatisfaction,Absolutely horrible. Person in store gave me the wrong internet box and now i’ve gone down this wagon trail of different issues with customer service. Person in store also said (per my request) that someone would reach out regarding scheduling for the technician to come out and NOBODY called. DO NOT shop here unless you are wanting wrong equipment and little effort.,1,25-Feb,51013
BP #51013 Orange Park,Store Experience | Customer Dissatisfaction,"This location absolutely sucks. Several phone calls made with no resolution, 3 seperate visits to the physical store where I was ""helped"" by an employee named James who not only lied about being the store manager, but continuously tried to sale various different promotions to me without actually addressing or solving the issues I was experiencing. Only reason this review gets two stars instead of one, is because I was able to get a hold of the real manager Dalton, who ultimately helped resolve my issue.",2,25-Mar,51013
BP #51013 Orange Park,Store Experience | Customer Dissatisfaction,"This store let my daughter charge on my credit card and she was not authorized, and set up cell phone service and buy a phone.",1,25-Mar,51013
BP #51013 Orange Park,Store Experience | Staff | Appreciation,"I was very fortunate to walk in without an appt! I was immediately greeted by AJ. He was a little confused when I asked him if he was ""Senior Friendly""...( I am 63 and technology is challenging for me!) He was super patient and helped me with 3 different issues and saved me money on my monthly bill! I was so confident when I left, I will be going back to upgrade my cell phone!",5,25-Feb,51013
BP #51013 Orange Park,Store Experience | Staff | Appreciation,Very professional and the customer service was great ! Especially Krista and James I am very thankful to the both of them !,5,25-Jan,51013
BP #51013 Orange Park,Store Experience | Staff | Appreciation,Xfinity as a company is annoying to deal with however the staff at this location were a huge help in navigating corporates shortcomings. Especially Krista who went above and beyond to make this whole process way less of a headache.,3,25-Feb,51013
BP #51013 Orange Park,Store Experience | Staff | Appreciation,Zach was SUPER AMAZING!!!!!,5,25-Jan,51013
BP #51014 St. Lucie,Store Experience | Customer Appreciation,"Loved the store, didn’t have to wait too long, and got all my issues resolved.",5,25-Jan,51014
BP #51014 St. Lucie,Store Experience | Customer Dissatisfaction,Horrible service super expensive and horrible customer service go in the store they are totally nasty,1,25-Mar,51014
BP #51014 St. Lucie,Store Experience | Customer Dissatisfaction,Terrible service on hold for one hour plus they never answered need to cancel service and return extender they charged a month for service I did not have the crooks!,1,25-Jan,51014
BP #51014 St. Lucie,Store Experience | Customer Dissatisfaction,"The past few years have been terrible there. I came in years ago with a new construction and new cable set up. He was helping someone so i waited. The customer walked out and told her daughter that was easier than i thought. He helped me with same concerned attitude. I belived he would take care of it. Then i hear they fired the only person who respectfully helped me and many others. No manager in the store? Ops consultant? This guy set us up to have cable run from the pedestal to our home. He made calls to get confirmation of the appointment. Odd that he followed up to ask how the install went. That was the only time I was asked if all was ok. I told him that kids were out playing around with the wires. He said they will be buried asap. With in 2 days the lines were buried. I recommended this guy to my neighbor. My neighbor was told rudely that the manager was fired. I can't imagine a customer service specialist being fired. For what? I don't know. I don't care why. I have gone out of my way to go to other stores and have never received respect since. The manager (Ops) gave me his card (i dont have it anylonger once i found out he was fired). I was surprised. Anyone with personal touch is hard to find. I'd like to know where he went. Anything he had control of was done on time. He had contacts of techs in the field that helped him fix issues. If they and I trusted him, he did not make promises he couldnt make happen. It was fixed any way. Customer issues were corrected and he would call for confirmation that the problem was no longer an issue. My wife and I have met others at this office and none made me feel comfortable. Promises not kept. They were tolerable but not the same. No accountability. Issues were pushed around because noone else knew how to respond and fill the request. The first time i visited i was told to call comcast. When I couldn't find him, I left called and cancelled all services. Security, every channel offered, home phone, and internet. I mentioned part of my reason for canceling. Poor human interaction. I saw and could probably feel what caused the representatives. Xfinity makes mistakes and to have a person you could ask for help from was by far more valuable that the services from Comcast. I won't mention his name because I can easily see there is relatiation. ""He got fired."" Was what my neighbor was told. For someone so helpful to get a bad rap is a terrible description. You fired a good one and the store still has issues.",2,25-Jan,51014
BP #51014 St. Lucie,Store Experience | Short Wait Time,"Alexander was great, in and out in 30 minutes",5,25-Feb,51014
BP #51014 St. Lucie,Store Experience | Staff | Appreciation,"Friendly, knowledgeable customer service agents. Very nice environment. Agent helped me out with clear communications. No wasted time here!",5,25-Feb,51014
BP #51014 St. Lucie,Store Experience | Staff | Appreciation,"Very good place, happy employees delivering great customer service",5,25-Jan,51014
BP #51014 St. Lucie,Store Experience | Staff | Dissatisfaction,Comcast interaction with employees is frustrating need to have us based employees you can understand their prices for services are astronomical,1,25-Feb,51014
BP #51014 St. Lucie,Store Experience | Staff | Dissatisfaction,No people to help customers,2,25-Mar,51014
BP #51014 St. Lucie,Store Experience | Staff | Manager Complaints,Went to the store in may of last year to drop off a phone that I traded in the store was supposed to ship the phone to Xfinity they never did. I went back to the store the manager says the camera footage doesn’t go that far back so they can’t help me and the manager that was here last year is no longer here . The guy that I gave the phone to wasn’t even at the store but i see his picture on one of the customers review. So unacceptable. This store is a total chaos. I hope they find out what Happened to my phone .,1,25-Jan,51014
BP #51015 Brunswick,Store Experience | Customer Dissatisfaction,Terrible terrible customer service. The service itself is not awful. It's very mediocre. But do not go to this store for help. They never knew what they were talking about saying that something was free and now I am paying x amount a month. They are very unhelpful and ghetto. Do not go here and call the company instead.,1,25-Jan,51015
BP #51015 Brunswick,Store Experience | Staff | Appreciation,I encountered great customer service with a nice joyful attitude from Keisha Hayes!,4,25-Jan,51015
BP #51015 Brunswick,Store Experience | Staff | Appreciation,"I went to the Xfinity store today in Brunswick and received from Keisha. She was amazing! She was very knowledgeable about the cell phones and the service. She was patient and very kind. She helped me through the process of adding lines and explained every step of the way. She was very professional and answered every question I had. Go see Keisha if you need any help, I guarantee you will be satisfied.",5,25-Jan,51015
BP #51015 Brunswick,Store Experience | Staff | Appreciation,"Keenan was friendly, extremely knowledgeable and helpful.  He was patient and made sure we understood all of our options.   He’s a superstar!",5,25-Mar,51015
BP #51015 Brunswick,Store Experience | Staff | Appreciation,"Spoke with Andrea. She was the only employee who offered to help.
She was friendly, efficient and handled all my 100%
Only speak with her!",5,25-Mar,51015
"BP #51017 Hammond, IN",Store Experience | Staff | Appreciation,I have used this location before and this time like previous times I was very pleased with the service. Yesterday I was in the store and and associate that help me was young lady named Julianna. She took care of my request in a very timely manner and gave me additional information regarding my iPad that was very helpful. I will continue to frequent this location.,5,25-Feb,51017
"BP #51017 Hammond, IN",Store Experience | Staff | Dissatisfaction,"Came here to switch my phone over, and left after being ignored by the employees. Not even sure if they worked there? Terrible customer service",1,25-Mar,51017
"BP #51017 Hammond, IN",Store Experience | Staff | Manager Complaints,"If I give this  establishment a -100% I would the management is very unprofessional and rude and at times ignorant and speaks to her employees very rude I got a trainee today which I would give 10 rating  for dealing with the management she had no knowledge of anything and the manager was too fixated on degrading her and making her feel like she doesn’t know what she’s doing when you should be training her that’s why she’s a trainee. The management needs to be fired very bad customer service. Was in the store today, March 1 had an appointment at 10 AM. They had no phones or knowledge about the emails that were sent out I’m sure they get millions of complaints but nobody ever says anything and this is why she treats people very disrespectful and unprofessional",1,25-Mar,51017
BP #52000 Seabrook,Store Experience | Customer Appreciation,Chandler at the Seabrook XFinity store was Awesome! Friendly ! Helpful ! And Efficient ! Got me taken care of right away,5,25-Mar,52000
BP #52000 Seabrook,Store Experience | Customer Dissatisfaction,,5,24-Mar,52000
BP #52000 Seabrook,Store Experience | Customer Dissatisfaction,"If I could give 0 stars I would. This store is awful. We went in for a new iphone in October. The store manager Tom talked my husband into getting one as well. He told him with his trade in he’d be getting more money back than a new phone would cost him, and with all these promotions our bill would be cheaper. He signed our new phones up with new numbers and then switched our numbers to google voice. “To make xfinity think we’re new customers for the promo”. Said don’t worry, we’ll have our numbers tomorrow. We had to go back for them to switch them back for us. Then magically, we still had the two other phone lines but for by the gig lines. He said don’t worry you’ll never see a charge for them. We’re paying for two by the gig lines, we never got a credit for the trade in AND on top of it all… today I got an email that my order was completed today at the seabrook store. Well I wasn’t there today. I went in tonight and FOUR MONTHS LATER someone who worked there added another by the gig number with a “bring your own” iPhone 15 to my account. So now there’s 3 by the gig numbers. Five phone lines for two people that only use two numbers. NO ONE working there could tell me a thing. Manager doesn’t work past 5, how convenient. Don’t even waste your time with this store.",1,25-Feb,52000
